O1x,O2x,O3x,O4x,O5x,O1y,O2y,O3y,O4y,O5y,Rshot
22.78,-9.61,10.12,-21.47,17.29,39.38,41.72,16.79,28.43,27.56,3
15.39,-23.12,23.22,7.31,-11.56,23.29,39.02,29.69,36.08,3.14,3
-5.01,23.38,12.25,-22.75,8.05,31.87,35.89,18.58,31.08,39.71,3
-23.04,-17.68,-7.4,-11.44,21.03,42.05,22.62,26.52,48.56,36.49,3
-23.47,22.29,-0.67,-8.89,-4.33,44.08,39.85,39.35,36.05,29.55,3
2.68,22.3,-2.2,-12.33,21.73,13.89,40.7,25.49,17.86,30.22,3
-0.64,0.22,2.72,-10.33,-23.14,41.81,35.11,35.61,19.24,30.41,3
-21.32,-22.62,3.75,21.24,19.58,23.88,38.29,15.47,27.19,40.67,3
2.03,12.91,-22.41,-22.69,-4.19,19.65,32.61,32.87,41.52,19.91,3
-5.8,19.1,-21.5,-16.61,3.04,33.15,27.81,29.81,42.69,23.01,3
19.27,-18.71,-10.9,22.59,5.94,18.85,25.1,30.06,40.45,26.17,3
-1.7,2.6,11.26,-16.23,-22.64,28.75,37.62,21.12,23.5,36.43,3
-6.65,23.01,4.86,8.87,-20.67,45.56,39.81,35.96,18.76,28.35,3
-12.57,-23.27,3.98,4.85,21.73,30.39,42.39,40.36,15.99,30.4,3
7.29,22.07,-11.45,10.7,-23.06,12.42,29.88,15.58,44.37,36.48,3
21.6,22.67,-8.32,10.56,-6.78,28.75,41.27,26.63,17.53,40.98,3
-18.57,22.93,-23.08,6.82,1.85,22.99,37.41,33.74,35.26,17.53,3
4.28,0.7,-21.52,22.65,-8.62,21.73,15.02,31.43,36.62,42.82,3
-23.51,12.12,-4.72,-2.65,6.16,38.49,18.35,15.57,39.02,43.94,3
-3.56,21.87,-22.39,1.05,-17.42,31.66,31.48,39.58,36.34,21.4,3
-22.21,17.55,-10.07,-3.24,18.3,29.45,14.57,43.65,18.74,40.46,3
19.15,22.24,-4.18,11.37,-22.41,26.2,41.39,39.76,33.34,37.53,3
11.11,-11.93,-22.9,-14.31,-15.43,14.14,32.83,42.81,18.81,43.26,3
15.43,22.91,-10.35,-22.45,14.9,39.96,40.29,43.86,35.73,18.42,3
-9.33,21.37,17.06,-22.28,-10.62,18.39,16.06,41.66,31.74,10.2,3
-23.36,-11.66,10.26,23.02,-16.19,38.52,19.57,20.15,34.69,43.58,3
-16.85,-8.96,10.07,-21.83,13.88,18.16,44.47,18.36,37.64,21.64,3
22.71,10.34,-18.62,9.84,-5.86,33.99,18.08,25.38,41.3,45.09,3
12.99,8.78,-16.37,-22.88,-18.96,19.16,41.29,24.48,34.91,20.12,3
10.81,8.9,-9.76,-21.51,4.1,30.4,17.83,13.58,39.44,36.75,3
7.1,7.6,1.25,16.97,-19.92,11.69,41.24,43.26,21.75,23.23,3
-6.43,-4.04,-22.29,-18.04,20.75,33.88,25.23,34.38,21.48,38.77,3
5.21,22.66,-2.48,-5.1,-7.84,35.01,41.17,45.01,18.67,40.07,3
-5.94,19.09,-12.56,9.22,14.44,25.89,34.17,21.03,40.34,18.84,3
0.22,-17.48,-1.45,-21.36,23.06,21.28,18.58,38.26,33.55,40.08,3
-0.2,-13.93,8.02,-22.81,-18.06,39.23,16.31,19.78,41.06,44.88,3
-12.24,8.57,-22.44,13.58,-13.87,13.11,29.36,42.14,20.89,31.08,3
20.31,-4.0,-7.38,-22.55,15.65,40.57,21.62,11.05,42.06,23.8,3
-16.5,2.46,-10.22,11.56,-22.97,21.78,38.16,47.9,17.97,41.92,3
-23.15,-16.59,4.12,-8.66,-0.93,40.33,19.08,38.59,40.46,21.85,3
-21.35,22.03,-3.9,8.57,-16.16,41.6,36.88,17.73,31.81,27.08,3
23.12,-1.15,11.4,7.14,-13.92,43.23,38.95,17.85,45.07,19.42,3
17.99,0.14,10.12,-12.65,23.08,23.67,38.3,40.13,20.08,41.05,3
-0.92,17.6,-20.55,3.85,1.74,34.16,23.84,29.15,30.47,17.08,3
-22.47,5.06,-10.48,23.25,10.63,35.39,36.38,12.67,44.49,31.57,3
-22.87,8.04,0.23,-3.57,22.66,38.53,18.14,24.04,23.76,40.04,3
0.69,16.79,8.44,-16.3,-14.43,20.49,23.08,31.47,35.9,33.37,3
-21.41,11.63,-23.05,22.79,-16.29,49.85,16.21,41.85,35.73,17.17,3
22.91,-17.49,-4.36,-16.78,8.54,34.46,37.67,40.99,21.76,17.8,3
-5.04,22.58,11.52,3.74,-22.42,23.76,40.67,19.9,32.22,35.83,3
22.99,3.57,-19.63,-18.82,-10.83,36.08,38.59,42.07,27.27,19.3,3
-8.72,-15.97,20.15,-23.26,-3.34,20.55,18.35,28.84,41.4,22.48,3
